dataset,method,tau,layers,selection,best_epoch,label,recall@3,ndcg@3,arhr@3,recall@5,ndcg@5,arhr@5,recall@10,ndcg@10,arhr@10,recall@20,ndcg@20,arhr@20,recall@50,ndcg@50,arhr@50
epinions,lightccn_multi,,3,val-best-recall@20,130,stateful_ef__softmax__global__L3__ho_user,0.016218805213434582,0.019309551593455977,0.010628854912303497,0.02284332683063929,0.021230921523614225,0.012134873003948582,0.03679805193517031,0.025561828389453315,0.013953451545519578,0.056367345673695925,0.031422764684468224,0.01530877621861203,0.09455645075588737,0.04106573103371559,0.016507443384065332
epinions,lightccn_multi,,3,val-best-recall@20,40,derived_ef__softplus__global__L3__none,0.013926785459944134,0.01745522672214625,0.009314414805555268,0.02044337083806699,0.019247185279509964,0.010799084893234574,0.03358327907095502,0.023309772579798424,0.012518726819004894,0.05291805078498662,0.028941198245631718,0.01384593081289366,0.08756492794617905,0.037755069750477,0.014929535405115595
epinions,lightccn_multi,,4,val-best-recall@20,30,derived_ef__softplus__global__L4__ho_user,0.015440121774818698,0.019251396076504994,0.010214673747649238,0.022637486869927174,0.02113974637140502,0.011846271739610524,0.03565694300262447,0.025079490184138093,0.013544511960633039,0.05604905258558499,0.031084841859429068,0.014921767023973444,0.09314872664290968,0.04050598925579633,0.016076613393156903
epinions,lightccn_multi,,4,val-best-recall@20,140,stateful_ef__softmax__global__L4__ho_user,0.017052358664325258,0.02057708316729632,0.011294702473892599,0.02403860498683194,0.022410729069892877,0.012889733800233632,0.038642029177223834,0.026939825848663314,0.014792096928682552,0.05927535751718145,0.03307201867140238,0.016212550865638258,0.09888646148972775,0.043060645543402616,0.017455113968804305
epinions,lightccn_multi,,4,val-best-recall@20,170,stateful_e__softmax__global__L4__none,0.01578041817781128,0.019410612594785565,0.01043195277760737,0.023379775070663366,0.021618501609951307,0.012140489603714364,0.03786942440497887,0.02609387859012744,0.014041904124548471,0.059604491779830515,0.03245052140230299,0.015520743002032317,0.098676172750081,0.04232231742696454,0.016740300087102217
epinions,lightccn_multi,,4,val-best-recall@20,40,derived_ef__softplus__global__L4__none,0.014808335043196185,0.018775641709567206,0.009923369298308364,0.02182167990317555,0.02064313068387158,0.011518178630607669,0.03507335256362682,0.024666669174815536,0.013249011970835868,0.05441444607350668,0.03030244107701942,0.014575923263691096,0.0906711258526242,0.03954245889197569,0.01571042581194098
epinions,lightccn_multi,,4,val-best-recall@20,240,derived_ef__softmax__global__L4__none,0.016153264593177938,0.019755606731952858,0.010708137015903813,0.02344826996067828,0.021814542099371004,0.01237058065131418,0.038112562285497566,0.026363733526952135,0.014292059033662966,0.05892872255415384,0.03253342469148476,0.015721083315594613,0.09890099019295699,0.04258354389847103,0.016966809016902566
epinions,lightccn_multi,,4,val-best-recall@20,130,derived_ef__softmax__global__L4__ho_user,0.016478345107144354,0.02004144368706933,0.011059035818253276,0.023453666347548925,0.021910409610628095,0.012660339782651908,0.038007846913219026,0.026532540537044333,0.014563865994212836,0.05944809168490344,0.03288269480526737,0.016043595629872908,0.09913015656713564,0.042873654005114316,0.0172821802580132
epinions,lightccn_multi,,4,val-best-recall@20,240,stateful_ef__softmax__global__L4__none,0.01645698340898166,0.020029712315727515,0.01090208061441842,0.023778508084940083,0.022049157689075144,0.012570230038696764,0.03888612331977926,0.026803954303731878,0.01453924332522735,0.05930913471376538,0.03282947701319454,0.01592995628067941,0.09909726751030637,0.04286786734457143,0.017173130718481474
epinions,lightccn_multi,,4,val-best-recall@20,260,derived_e__softmax__global__L4__none,0.01659876390063956,0.019928435197002103,0.010779713203777219,0.023921465180839246,0.021995614995799037,0.012430834895952012,0.03833890458708792,0.026519048210648346,0.014325722954752476,0.059265757322885006,0.03268876772694922,0.01576338132286019,0.09812262037884369,0.0425467924981161,0.016972514195969627
epinions,lightccn_multi,,4,val-best-recall@20,140,derived_e__softmax__global__L4__ho_user,0.016861257493919788,0.020239683377708814,0.0110941082459805,0.02403623952427755,0.022231303617843933,0.012726586728893709,0.03840820634929698,0.026719840382140134,0.014597464849037964,0.059991533650799046,0.03305914395344859,0.016074907947028084,0.09882110776845683,0.042877640724095376,0.0172793146406674
